# Trading Date,Product Name,Product Symbol,Delivery Period,Delivery Start,Delivery End,Contract Volume,Open Price,High Price,Low Price,Last Price,Settlement Price,Change,Exchange Volume MWh,Exchange Traded Contracts,TradeReg Volume MWh,TradeReg Traded Contracts
"2021-07-16","F PXE CZ BL CAL-22","FXBY 2022","202212","2022-01-01","2022-12-31",8760,73.7,73.7,73.7,73.7,73.8,0.57,8760,1,43800,
"2021-07-16","F PXE CZ BL CAL-23","FXBY 2023","202312","2023-01-01","2023-12-31",8760,,,,,65.05,0.39,,,,
"2021-07-16","F PXE CZ BL CAL-24","FXBY 2024","202412","2024-01-01","2024-12-31",8784,,,,,61.26,-0.10,,,175680,
"2021-07-16","F PXE CZ BL CAL-25","FXBY 2025","202512","2025-01-01","2025-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE CZ BL CAL-26","FXBY 2026","202612","2026-01-01","2026-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE CZ BL CAL-27","FXBY 2027","202712","2027-01-01","2027-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE CZ BL M01-22","FXBM Jan22","202201","2022-01-01","2022-01-31",744,,,,,90.1,1.19,,,,
"2021-07-16","F PXE CZ BL M07-21","FXBM Jul21","202107","2021-07-01","2021-07-31",744,,,,,87.99,0.46,,,,
"2021-07-16","F PXE CZ BL M08-21","FXBM Aug21","202108","2021-08-01","2021-08-31",744,83.7,83.7,83.7,83.7,84.13,0.61,3720,5,,
"2021-07-16","F PXE CZ BL M09-21","FXBM Sep21","202109","2021-09-01","2021-09-30",720,,,,,86.67,1.01,,,,
"2021-07-16","F PXE CZ BL M10-21","FXBM Oct21","202110","2021-10-01","2021-10-31",745,,,,,87.97,1.34,,,,
"2021-07-16","F PXE CZ BL M11-21","FXBM Nov21","202111","2021-11-01","2021-11-30",720,,,,,91.87,0.93,,,,
"2021-07-16","F PXE CZ BL M12-21","FXBM Dec21","202112","2021-12-01","2021-12-31",744,,,,,88.05,0.94,,,,
"2021-07-16","F PXE CZ BL Q01-22","FXBQ Q122","202203","2022-01-01","2022-03-31",2159,,,,,87.61,1.12,,,,
"2021-07-16","F PXE CZ BL Q01-23","FXBQ Q123","202303","2023-01-01","2023-03-31",2159,,,,,,0.00,,,,
"2021-07-16","F PXE CZ BL Q02-22","FXBQ Q222","202206","2022-04-01","2022-06-30",2184,,,,,66.44,0.51,,,,
"2021-07-16","F PXE CZ BL Q02-23","FXBQ Q223","202306","2023-04-01","2023-06-30",2184,,,,,,0.00,,,,
"2021-07-16","F PXE CZ BL Q03-22","FXBQ Q322","202209","2022-07-01","2022-09-30",2208,,,,,68.84,0.73,,,,
"2021-07-16","F PXE CZ BL Q04-21","FXBQ Q421","202112","2021-10-01","2021-12-31",2209,,,,,89.27,1.08,,,,
"2021-07-16","F PXE CZ BL Q04-22","FXBQ Q422","202212","2022-10-01","2022-12-31",2209,,,,,,0.00,,,,
"2021-07-16","F PXE CZ PL CAL-22","FXPY 2022","202212","2022-01-03","2022-12-30",3120,,,,,87.77,0.52,,,,
"2021-07-16","F PXE CZ PL CAL-23","FXPY 2023","202312","2023-01-02","2023-12-29",3120,,,,,78.96,0.20,,,,
"2021-07-16","F PXE CZ PL CAL-24","FXPY 2024","202412","2024-01-01","2024-12-31",3144,,,,,75.9,-0.03,,,,
"2021-07-16","F PXE CZ PL CAL-25","FXPY 2025","202512","2025-01-01","2025-12-31",3132,,,,,,0.00,,,,
"2021-07-16","F PXE CZ PL CAL-26","FXPY 2026","202612","2026-01-01","2026-12-31",3132,,,,,,0.00,,,,
"2021-07-16","F PXE CZ PL CAL-27","FXPY 2027","202712","2027-01-01","2027-12-31",3132,,,,,,0.00,,,,
"2021-07-16","F PXE CZ PL M01-22","FXPM Jan22","202201","2022-01-03","2022-01-31",252,,,,,111.2,0.42,,,,
"2021-07-16","F PXE CZ PL M07-21","FXPM Jul21","202107","2021-07-01","2021-07-30",264,,,,,96.71,-0.29,,,,
"2021-07-16","F PXE CZ PL M08-21","FXPM Aug21","202108","2021-08-02","2021-08-31",264,,,,,94.54,1.08,,,,
"2021-07-16","F PXE CZ PL M09-21","FXPM Sep21","202109","2021-09-01","2021-09-30",264,,,,,96.33,1.29,,,,
"2021-07-16","F PXE CZ PL M10-21","FXPM Oct21","202110","2021-10-01","2021-10-29",252,,,,,97.24,0.39,,,,
"2021-07-16","F PXE CZ PL M11-21","FXPM Nov21","202111","2021-11-01","2021-11-30",264,,,,,111.54,1.01,,,,
"2021-07-16","F PXE CZ PL M12-21","FXPM Dec21","202112","2021-12-01","2021-12-31",276,,,,,108.21,1.04,,,,
"2021-07-16","F PXE CZ PL Q01-22","FXPQ Q122","202203","2022-01-03","2022-03-31",768,,,,,104.22,0.43,,,,
"2021-07-16","F PXE CZ PL Q01-23","FXPQ Q123","202303","2023-01-02","2023-03-31",780,,,,,,0.00,,,,
"2021-07-16","F PXE CZ PL Q02-22","FXPQ Q222","202206","2022-04-01","2022-06-30",780,,,,,76.68,0.08,,,,
"2021-07-16","F PXE CZ PL Q02-23","FXPQ Q223","202306","2023-04-03","2023-06-30",780,,,,,,0.00,,,,
"2021-07-16","F PXE CZ PL Q03-22","FXPQ Q322","202209","2022-07-01","2022-09-30",792,,,,,78.82,0.60,,,,
"2021-07-16","F PXE CZ PL Q04-21","FXPQ Q421","202112","2021-10-01","2021-12-31",792,,,,,105.83,0.84,,,,
"2021-07-16","F PXE CZ PL Q04-22","FXPQ Q422","202212","2022-10-03","2022-12-30",780,,,,,,0.00,,,,
"2021-07-16","F PXE HU BL CAL-22","F9BY 2022","202212","2022-01-01","2022-12-31",8760,,,,,76.6,0.59,,,61320,
"2021-07-16","F PXE HU BL CAL-23","F9BY 2023","202312","2023-01-01","2023-12-31",8760,,,,,66.61,0.39,,,43800,
"2021-07-16","F PXE HU BL CAL-24","F9BY 2024","202412","2024-01-01","2024-12-31",8784,,,,,62.76,-0.10,,,,
"2021-07-16","F PXE HU BL CAL-25","F9BY 2025","202512","2025-01-01","2025-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE HU BL CAL-26","F9BY 2026","202612","2026-01-01","2026-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE HU BL CAL-27","F9BY 2027","202712","2027-01-01","2027-12-31",8760,,,,,,0.00,,,,
"2021-07-16","F PXE HU BL M01-22","F9BM Jan22","202201","2022-01-01","2022-01-31",744,,,,,93.6,1.36,,,,
"2021-07-16","F PXE HU BL M07-21","F9BM Jul21","202107","2021-07-01","2021-07-31",744,,,,,93.39,0.30,,,,
"2021-07-16","F PXE HU BL M08-21","F9BM Aug21","202108","2021-08-01","2021-08-31",744,91.7,93.4,91.7,93.1,93.53,0.82,6696,9,23064,
"2021-07-16","F PXE HU BL M09-21","F9BM Sep21","202109","2021-09-01","2021-09-30",720,94.5,94.5,94.5,94.5,95.27,1.08,3600,5,,
"2021-07-16","F PXE HU BL M10-21","F9BM Oct21","202110","2021-10-01","2021-10-31",745,,,,,94.6,2.48,,,,
"2021-07-16","F PXE HU BL M11-21","F9BM Nov21","202111","2021-11-01","2021-11-30",720,,,,,98.5,2.05,,,,
"2021-07-16","F PXE HU BL M12-21","F9BM Dec21","202112","2021-12-01","2021-12-31",744,,,,,94.68,2.10,,,,
"2021-07-16","F PXE HU BL Q01-22","F9BQ Q122","202203","2022-01-01","2022-03-31",2159,,,,,91.11,1.30,,,21590,
"2021-07-16","F PXE HU BL Q01-23","F9BQ Q123","202303","2023-01-01","2023-03-31",2159,,,,,,0.00,,,,
"2021-07-16","F PXE HU BL Q02-22","F9BQ Q222","202206","2022-04-01","2022-06-30",2184,,,,,68.29,0.50,,,,
"2021-07-16","F PXE HU BL Q02-23","F9BQ Q223","202306","2023-04-01","2023-06-30",2184,,,,,,0.00,,,,
