TradingDay,Contract,OpenPrice,HighPrice,LowPrice,ClosePrice,VolumeAcc,TradesNumber,Ceghedi,Ceghix
12.08.2021,CZ VTP DA 2021-08-13,45.600,46.400,45.600,45.725,26184.000,24,45.725,46.157
11.08.2021,CZ VTP DA 2021-08-12,44.775,46.400,44.750,46.400,29160.000,20,46.222,45.192
10.08.2021,CZ VTP DA 2021-08-11,44.425,44.700,44.350,44.500,9816.000,22,44.500,44.483
09.08.2021,CZ VTP DA 2021-08-10,42.750,43.575,42.375,43.000,28872.000,32,43.200,42.729
08.08.2021,CZ VTP DA 2021-08-09,44.125,44.300,43.100,43.100,22080.000,25,42.850,43.996
06.08.2021,CZ VTP WE 2021-08-07/08,44.100,44.250,42.600,42.600,35136.000,22,42.600,43.542
05.08.2021,CZ VTP DA 2021-08-06,41.425,42.850,41.400,42.850,23832.000,23,42.800,41.723
04.08.2021,CZ VTP DA 2021-08-05,41.700,41.950,41.575,41.850,30240.000,30,41.774,41.820
03.08.2021,CZ VTP DA 2021-08-04,42.300,42.350,40.575,40.600,25680.000,26,40.890,41.626
02.08.2021,CZ VTP DA 2021-08-03,42.525,43.175,42.200,43.175,17688.000,19,42.300,42.358
01.08.2021,CZ VTP DA 2021-08-02,41.350,41.350,39.575,40.650,26400.000,20,40.820,40.132
30.07.2021,CZ VTP WE 2021-07-31/01,40.400,40.675,38.975,40.675,81360.000,28,40.600,39.462
29.07.2021,CZ VTP DA 2021-07-30,40.000,40.800,40.000,40.600,27576.000,21,40.613,40.373
28.07.2021,CZ VTP DA 2021-07-29,38.500,39.400,38.500,39.400,28704.000,22,39.447,38.754
27.07.2021,CZ VTP DA 2021-07-28,37.650,37.900,37.550,37.800,80352.000,52,37.800,37.696
26.07.2021,CZ VTP DA 2021-07-27,36.450,36.950,36.325,36.800,13968.000,18,36.951,36.755
25.07.2021,CZ VTP DA 2021-07-26,35.900,35.950,35.225,35.225,9912.000,15,35.225,35.726
23.07.2021,CZ VTP WE 2021-07-24/25,35.900,35.950,35.200,35.300,28560.000,21,35.500,35.673
22.07.2021,CZ VTP DA 2021-07-23,36.650,36.650,35.625,36.050,36120.000,26,36.200,36.265
