Contract	Open		High		Low		Close		Prev Settle	Settle		Chg		Volume		OI		OI Chg		Turnover	
a2111		6,146		6,172		6,110		6,127		6,143		6,135		-16		6,904		7,562		-3,555		423,593.14	
a2201		6,167		6,198		6,118		6,143		6,160		6,153		-17		133,393		111,930		-5,164		8,208,661.38	
a2203		6,210		6,212		6,135		6,164		6,175		6,170		-11		34,524		64,752		-891		2,130,172.84	
a2205		6,133		6,163		6,097		6,125		6,128		6,125		-3		3,072		5,899		-27		188,165.75	
a2207		6,093		6,114		6,050		6,073		6,082		6,077		-9		5,991		8,573		139		364,106		
a2209		6,008		6,008		5,968		5,990		5,959		5,980		31		50		93		24		2,990.11	
a Subtotal	-		-		-		0		0		0		0		183,934		198,809		-9,474		11,317,689.22	
b2111		4,579		4,595		4,213		4,335		4,579		4,464		-244		4,034		704		-1,021		180,091.76	
b2112		4,401		4,449		4,304		4,347		4,397		4,375		-50		49,308		14,041		-2,449		2,157,443.32	
b2201		4,280		4,311		4,226		4,259		4,287		4,263		-28		12,117		14,897		365		516,562.57	
b2202		4,138		4,160		4,084		4,112		4,153		4,118		-41		5,992		7,960		352		246,801.98	
b2203		4,062		4,072		4,007		4,041		4,067		4,035		-26		749		2,787		103		30,222.25	
b2204		0		0		0		4,021		4,021		4,021		0		0		3		0		0		
b2205		3,939		3,978		3,922		3,942		3,955		3,954		-13		382		1,631		127		15,106.87	
b2206		0		0		0		3,935		3,895		3,935		40		0		6		0		0		
b2207		3,947		3,947		3,947		3,947		3,982		3,947		-35		50		604		50		1,973.5		
b2208		0		0		0		3,939		3,939		3,939		0		0		1		0		0		
b2209		3,969		3,969		3,969		3,969		3,986		3,969		-17		1		15		0		39.69		
b2210		0		0		0		3,989		4,006		3,989		-17		0		2		0		0		
b Subtotal	-		-		-		0		0		0		0		72,633		42,651		-2,473		3,148,241.94	
bb2111		0		0		0		302.35		302.35		302.35		0		0		0		0		0		
bb2112		0		0		0		373.3		373.3		373.3		0		0		0		0		0		
bb2201		0		0		0		373.3		373.3		373.3		0		0		0		0		0		
bb2202		0		0		0		373.3		373.3		373.3		0		0		0		0		0		
bb2203		0		0		0		373.3		373.3		373.3		0		0		0		0		0		
bb2204		0		0		0		373.3		373.3		373.3		0		0		0		0		0		
bb2205		0		0		0		373.3		373.3		373.3		0		0		0		0		0		
bb2206		0		0		0		373.3		373.3		373.3		0		0		0		0		0		
bb2207		0		0		0		373.3		373.3		373.3		0		0		0		0		0		
bb2208		0		0		0		373.3		373.3		373.3		0		0		0		0		0		
bb2209		0		0		0		373.3		373.3		373.3		0		0		0		0		0		
bb2210		0		0		0		373.3		373.3		373.3		0		0		0		0		0		
bb Subtotal	-		-		-		0		0		0		0		0		0		0		0		
c2111		2,600		2,600		2,555		2,557		2,592		2,572		-35		7,639		37,707		-6,170		196,480.19	
c2201		2,609		2,611		2,565		2,587		2,611		2,590		-24		820,926		701,823		-64,900		21,262,057.53	
c2203		2,618		2,624		2,570		2,593		2,622		2,596		-29		222,949		213,499		-692		5,788,041.74	
c2205		2,650		2,657		2,615		2,637		2,652		2,636		-15		86,496		137,294		5,903		2,280,853.67	
c2207		2,656		2,670		2,629		2,648		2,663		2,652		-15		39,089		59,675		656		1,036,825.21	
c2209		2,673		2,680		2,640		2,658		2,674		2,661		-16		2,246		5,067		-39		59,777.69	
c Subtotal	-		-		-		0		0		0		0		1,179,345	1,155,065	-65,242		30,624,036.03	
cs2111		3,173		3,173		3,012		3,105		3,195		3,121		-90		64,228		7,599		-12,653		2,005,132.01	
cs2201		3,121		3,134		3,050		3,084		3,130		3,088		-46		160,113		86,930		-11,020		4,944,303.62	
cs2203		3,121		3,130		3,047		3,083		3,124		3,080		-41		195,482		31,752		1,358		6,021,080.79	
cs2205		3,126		3,135		3,064		3,094		3,136		3,101		-42		6,689		4,907		-481		207,485.56	
cs2207		3,139		3,139		3,054		3,078		3,135		3,087		-57		20,201		12,485		-173		623,762.37	
cs2209		3,118		3,131		3,058		3,077		3,131		3,101		-54		79		159		7		2,450.1		
cs Subtotal	-		-		-		0		0		0		0		446,792		143,832		-22,962		13,804,214.45	
eb2111		9,185		9,350		8,946		9,253		9,326		9,146		-73		5,843		4,195		-1,338		267,217.58	
eb2112		9,060		9,250		8,895		9,167		9,267		9,106		-100		315,533		96,948		-9,889		14,366,606.08	
eb2201		9,000		9,133		8,800		9,066		9,204		9,010		-138		45,633		40,194		865		2,055,790.16	
eb2202		8,842		9,082		8,740		8,957		9,156		8,926		-199		6,936		20,306		1,041		309,576.13	
