"Date","Daily Sterling overnight index average (SONIA) rate                          IUDSOIA"
"17 Jun 21","0.05"
"16 Jun 21","0.05"
"15 Jun 21","0.0499"
"14 Jun 21","0.0499"
"11 Jun 21","0.0501"
"10 Jun 21","0.0499"
"09 Jun 21","0.0502"
"08 Jun 21","0.0505"
"07 Jun 21","0.0504"
"04 Jun 21","0.05"
"03 Jun 21","0.0502"
"02 Jun 21","0.0498"
"01 Jun 21","0.0498"
"28 May 21","0.0516"
"27 May 21","0.0501"
"26 May 21","0.05"
"25 May 21","0.0496"
"24 May 21","0.0497"
"21 May 21","0.0495"
"20 May 21","0.0493"
"19 May 21","0.049"
"18 May 21","0.0493"
"17 May 21","0.0483"
"14 May 21","0.0497"
"13 May 21","0.0494"
"12 May 21","0.0492"
"11 May 21","0.0488"
"10 May 21","0.049"
"07 May 21","0.0498"
"06 May 21","0.0491"
"05 May 21","0.0487"
"04 May 21","0.0496"
"30 Apr 21","0.0509"
"29 Apr 21","0.0499"
"28 Apr 21","0.0496"
"27 Apr 21","0.0495"
"26 Apr 21","0.0486"
"23 Apr 21","0.0491"
"22 Apr 21","0.0487"
"21 Apr 21","0.0481"
"20 Apr 21","0.048"
"19 Apr 21","0.0482"
"16 Apr 21","0.048"
"15 Apr 21","0.0477"
"14 Apr 21","0.0482"
"13 Apr 21","0.0481"
"12 Apr 21","0.0482"
"09 Apr 21","0.0484"
"08 Apr 21","0.0483"
"07 Apr 21","0.0483"
"06 Apr 21","0.0482"
"01 Apr 21","0.0475"
"31 Mar 21","0.0466"
"30 Mar 21","0.0475"
"29 Mar 21","0.048"
"26 Mar 21","0.0481"
"25 Mar 21","0.0481"
"24 Mar 21","0.0481"
"23 Mar 21","0.0481"
"22 Mar 21","0.0489"
"19 Mar 21","0.0485"
"18 Mar 21","0.0493"
"17 Mar 21","0.0494"
"16 Mar 21","0.0493"
"15 Mar 21","0.0497"
"12 Mar 21","0.049"
"11 Mar 21","0.0485"
"10 Mar 21","0.0485"
"09 Mar 21","0.049"
"08 Mar 21","0.0491"
"05 Mar 21","0.0488"
"04 Mar 21","0.0494"
"03 Mar 21","0.049"
"02 Mar 21","0.0491"
"01 Mar 21","0.0488"
"26 Feb 21","0.0512"
"25 Feb 21","0.0491"
"24 Feb 21","0.049"
"23 Feb 21","0.0486"
"22 Feb 21","0.049"
"19 Feb 21","0.0489"
"18 Feb 21","0.049"
"17 Feb 21","0.0487"
"16 Feb 21","0.0483"
"15 Feb 21","0.048"
"12 Feb 21","0.0481"
"11 Feb 21","0.0484"
"10 Feb 21","0.0483"
"09 Feb 21","0.0482"
"08 Feb 21","0.048"
"05 Feb 21","0.0482"
"04 Feb 21","0.0484"
"03 Feb 21","0.0486"
"02 Feb 21","0.0485"
"01 Feb 21","0.048"
"29 Jan 21","0.0529"
"28 Jan 21","0.0487"
"27 Jan 21","0.0489"
"26 Jan 21","0.0489"
"25 Jan 21","0.0493"
"22 Jan 21","0.0496"
"21 Jan 21","0.0494"
"20 Jan 21","0.0492"
"19 Jan 21","0.05"
"18 Jan 21","0.0495"
"15 Jan 21","0.0498"
"14 Jan 21","0.05"
"13 Jan 21","0.0496"
"12 Jan 21","0.0487"
"11 Jan 21","0.0488"
"08 Jan 21","0.0497"
"07 Jan 21","0.0491"
"06 Jan 21","0.0488"
"05 Jan 21","0.0485"
"04 Jan 21","0.0479"
"31 Dec 20","0.0394"
"30 Dec 20","0.048"
"29 Dec 20","0.0483"
"24 Dec 20","0.0474"
"23 Dec 20","0.0478"
"22 Dec 20","0.048"
"21 Dec 20","0.0477"
"18 Dec 20","0.0483"
"17 Dec 20","0.0487"
"16 Dec 20","0.0478"
"15 Dec 20","0.0491"
"14 Dec 20","0.0494"
"11 Dec 20","0.0502"
"10 Dec 20","0.0508"
"09 Dec 20","0.0514"
"08 Dec 20","0.051"
"07 Dec 20","0.051"
"04 Dec 20","0.0513"
"03 Dec 20","0.0519"
"02 Dec 20","0.0523"
"01 Dec 20","0.0528"
"30 Nov 20","0.054"
"27 Nov 20","0.0542"
"26 Nov 20","0.0535"
"25 Nov 20","0.0535"
"24 Nov 20","0.0536"
"23 Nov 20","0.0536"
"20 Nov 20","0.0543"
"19 Nov 20","0.0536"
"18 Nov 20","0.0538"
"17 Nov 20","0.0533"
"16 Nov 20","0.0539"
"13 Nov 20","0.0536"
"12 Nov 20","0.0542"
"11 Nov 20","0.0535"
"10 Nov 20","0.0533"
"09 Nov 20","0.0532"
"06 Nov 20","0.0534"
"05 Nov 20","0.0533"
"04 Nov 20","0.0537"
"03 Nov 20","0.0533"
"02 Nov 20","0.0539"
"30 Oct 20","0.0547"
"29 Oct 20","0.0543"
"28 Oct 20","0.054"
"27 Oct 20","0.0542"
"26 Oct 20","0.0541"
"23 Oct 20","0.0538"
"22 Oct 20","0.0543"
"21 Oct 20","0.0536"
"20 Oct 20","0.0533"
"19 Oct 20","0.0535"
"16 Oct 20","0.0533"
"15 Oct 20","0.0534"
"14 Oct 20","0.0538"
"13 Oct 20","0.0531"
"12 Oct 20","0.0542"
"09 Oct 20","0.0538"
"08 Oct 20","0.0539"
"07 Oct 20","0.054"
"06 Oct 20","0.0537"
"05 Oct 20","0.0539"
"02 Oct 20","0.0539"
"01 Oct 20","0.0538"
"30 Sep 20","0.0509"
"29 Sep 20","0.0533"
"28 Sep 20","0.0541"
"25 Sep 20","0.0541"
"24 Sep 20","0.0539"
"23 Sep 20","0.0539"
"22 Sep 20","0.0541"
"21 Sep 20","0.0538"
"18 Sep 20","0.054"
"17 Sep 20","0.0546"
"16 Sep 20","0.0558"
"15 Sep 20","0.0556"
"14 Sep 20","0.0557"
"11 Sep 20","0.0569"
"10 Sep 20","0.0552"
"09 Sep 20","0.055"
"08 Sep 20","0.0557"
"07 Sep 20","0.0556"
"04 Sep 20","0.056"
"03 Sep 20","0.0561"
"02 Sep 20","0.0547"
"01 Sep 20","0.0552"
"28 Aug 20","0.0545"
"27 Aug 20","0.0559"
"26 Aug 20","0.0547"
"25 Aug 20","0.0553"
"24 Aug 20","0.0545"
"21 Aug 20","0.0556"
"20 Aug 20","0.0557"
"19 Aug 20","0.0562"
"18 Aug 20","0.0553"
"17 Aug 20","0.0563"
"14 Aug 20","0.0568"
"13 Aug 20","0.0571"
"12 Aug 20","0.0563"
"11 Aug 20","0.0561"
"10 Aug 20","0.0572"
"07 Aug 20","0.0584"
"06 Aug 20","0.0573"
"05 Aug 20","0.0572"
"04 Aug 20","0.0568"
"03 Aug 20","0.0574"
"31 Jul 20","0.0603"
"30 Jul 20","0.0601"
"29 Jul 20","0.0591"
"28 Jul 20","0.0598"
"27 Jul 20","0.0584"
"24 Jul 20","0.0588"
"23 Jul 20","0.0584"
"22 Jul 20","0.0587"
"21 Jul 20","0.0602"
