Symbol,Date,Open,High,Low,Close,Volume,Open Interest
MWK22,2022-03-29,1079.5,1084.75,1063.75,1066,440,0
MWK22,2022-03-28,1102,1102,1065.25,1079.5,1981,0
MWK22,2022-03-25,1086,1109,1071.25,1104.25,3479,26285
MWK22,2022-03-24,1089,1097.5,1076,1082.75,2176,26754
MWK22,2022-03-23,1095.75,1116,1086.25,1089.25,2372,26992
MWK22,2022-03-22,1088.75,1123,1084.5,1095.75,2005,27529
MWK22,2022-03-21,1069.75,1119.5,1058,1088.75,4528,28079
MWK22,2022-03-18,1077,1087.75,1050.75,1060.25,3375,28717
MWK22,2022-03-17,1044.75,1091.25,1026.75,1079,4230,28951
MWK22,2022-03-16,1110.25,1110.75,1050.25,1050.25,3959,29399
MWK22,2022-03-15,1067.5,1116.75,1059,1110.25,3113,30010
MWK22,2022-03-14,1078.25,1105.25,1044.5,1070.25,3737,30813
MWK22,2022-03-11,1053.75,1102,1030.5,1070.25,6331,31389
MWK22,2022-03-10,1075,1120,1031.75,1055,7073,32545
MWK22,2022-03-09,1142,1142,1084,1084,5662,33769
MWK22,2022-03-08,1200,1211.75,1137.5,1144,7085,34784
MWK22,2022-03-07,1169.75,1207,1152.75,1197.5,8431,36635
MWK22,2022-03-04,1134.5,1178.25,1058.25,1147,11854,37119
MWK22,2022-03-03,1055,1118.25,1052.25,1118.25,8291,38593
MWK22,2022-03-02,1053,1113.75,1010.75,1058.25,13509,38053
MWK22,2022-03-01,991,1054,986.5,1053.75,10296,37633
MWK22,2022-02-28,998.75,1017.75,970.25,994,6638,38144
MWK22,2022-02-25,1014.25,1025,960.25,960.25,8845,38843
MWK22,2022-02-24,1001,1062.75,998.25,1020.25,15433,38433
MWK22,2022-02-23,980.75,1004.25,976.5,1002.75,8155,37030
MWK22,2022-02-22,972,992.25,965,987.75,8794,34986
MWK22,2022-02-18,955.25,970.75,954.75,961.25,8078,32279
MWK22,2022-02-17,950.5,962,946.5,957.25,4986,30232
MWK22,2022-02-16,945.75,954.75,942,950.25,4119,28230
MWK22,2022-02-15,962,962,936.75,950.5,4608,27037
MWK22,2022-02-14,957.5,968.75,950.75,962.25,3453,25909
MWK22,2022-02-11,933.75,965.5,927.25,957.5,4600,24941
MWK22,2022-02-10,947,975,935.25,938.25,5898,23947
MWK22,2022-02-09,934.25,952.25,929,950,5012,20702
MWK22,2022-02-08,919,938.25,907.75,936.25,3289,20702
MWK22,2022-02-07,916,922.75,909,919,1368,19931
MWK22,2022-02-04,901,912.5,898.5,910.5,1527,19646
MWK22,2022-02-03,901.75,904,894.5,898.5,2077,19314
MWK22,2022-02-02,911.5,923,900.25,905.25,2151,19127
