currency,prod_veg,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
EUR,01110000,AT	13.52 p	15.41 	14.46 	11.55 	13.72 	13.48 	14.84 	21.1 	15.72 	18.41 	8.32 p	13.61 	18.90 	10.49 	8.19 	8.84 	10.77 	9.77 	10.70 	11.05 
EUR,01110000,BE	15.59 	16.66 	14.14 	13.34 	15.44 	16.48 	19.87 	22.33 	19.83 	15.58 	11.05 	16.49 	17.74 	11.92 	9.01 	10.87 	11.21 	9.88 	10.86 	11.06 
EUR,01110000,BG	15.21 	15.40 	15.47 	14.06 	15.59 	16.06 	16.12 	20.67 	16.71 	12.50 	10.76 	15.98 	15.25 	8.68 	7.94 	11.75 	10.69 	8.16 	10.43 	9.39 
EUR,01110000,CZ	16.95 	15.99 	14.51 	13.69 	15.84 	16.27 	20.36 	20.08 	20.49 	13.42 	10.93 	20.47 	16.49 	10.93 	9.23 	12.23 	10.60 	11.03 	11.54 	9.56 
EUR,01110000,DE	16.91 	16.84 	15.13 	14.05 	16.15 	16.89 	20.26 	21.87 	20.86 	14.95 	11.26 	18.64 	17.52 	11.18 	9.35 	11.81 	11.13 	10.43 	11.38 	11.81 
EUR,01110000,DK	18.00 	16.90 	15.00 	14.10 	15.50 	16.62 	20.50 	20.72 	19.33 	13.16 	12.09 	20.39 	16.60 	10.98 	10.13 	12.66 	10.75 	10.50 	11.87 	11.93 
EUR,01110000,EE	: 	16.41 	15.50 	14.64 	15.97 	19.25 	19.26 	21.01 	18.67 	15.60 	10.44 	15.55 	18.29 	11.18 	9.77 	11.17 	11.41 	10.31 	11.59 	10.71 
EUR,01110000,EL	19.08 	18.45 	18.84 	18.52 	19.40 	19.07 	21.55 	23.2 	22.50 	16.46 	13.50 	22.60 	23.51 	14.07 	14.12 	14.18 	14.19 	14.00 	14.87 	13.72 
EUR,01110000,ES	18.66 	18.29 	17.64 	15.73 	18.12 	18.09 	20.03 	23.91 	21.17 	17.34 	14.24 	19.03 	20.28 	13.95 	13.78 	14.13 	13.50 	13.02 	14.71 	12.99 
EUR,01110000,FI	17.54 	19.98 	15.91 	15.14 	16.89 	16.95 	20.42 	20.35 	19.69 	14.74 	13.20 	18.91 	15.99 	11.05 	10.62 	11.98 	12.57 	13.18 	13.24 	13.47 
EUR,01110000,FR	: 	: 	: 	20.10 	22.30 	23.9 	27.89 	30.44 	21.32 	16.05 	11.11 	14.90 	18.94 	12.16 	9.35 	9.64 	11.45 	9.74 	10.81 	10.17 
EUR,01110000,HR	14.99 	14.61 	13.89 	12.19 	15.23 	15.77 	14.81 	18.55 	18.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,01110000,HU	15.47 	15.27 	14.02 	12.77 	15.58 	15.62 	16.06 	20.85 	18.29 	14.23 	10.62 	15.89 	17.39 	9.95 	8.23 	9.31 	11.91 	9.31 	9.40 	10.73 
EUR,01110000,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.48 	13.66 	20.09 	12.18 	10.48 	10.78 	12.00 	9.71 	11.66 	10.35 
EUR,01110000,IT	19.94 	19.82 	18.77 	17.82 	19.47 	20.4 	33.07 	24.56 	24.86 	18.24 	15.38 	22.31 	20.80 	14.45 	12.63 	15.51 	14.81 	14.29 	15.76 	15.24 
EUR,01110000,LT	16.25 	17.16 	15.49 	14.50 	16.22 	15.73 	17.94 	21.22 	20.61 	16.20 	11.47 	16.18 	18.70 	12.87 	9.48 	10.48 	11.58 	11.67 	11.68 	11.20 
EUR,01110000,LU	15.82 	17.93 	15.00 	14.35 	15.60 	14.94 	16.76 	23.08 	18.15 	15.86 	10.03 	14.04 	20.33 	12.63 	11.53 	11.81 	13.38 	12.62 	13.60 	13.10 
EUR,01110000,LV	16.01 	17.17 	14.82 	13.46 	14.85 	15.5 	18.42 	21.29 	19.65 	16.34 	11.31 	15.48 	18.87 	11.17 	8.85 	10.21 	9.85 	10.26 	10.55 	10.94 
EUR,01110000,NL	16.20 	19.40 	15.25 	14.90 	15.60 	15.8 	19.48 	22.4 	19.35 	16.10 	11.05 	16.10 	19.00 	10.15 	9.70 	11.05 	11.80 	9.75 	11.05 	10.80 
EUR,01110000,PL	16.81 p	17.04 	15.62 	14.23 	16.00 	16.36 	19 	21.38 	19.93 	15.00 	11.16 	18.29 	18.68 	11.49 	9.12 	10.42 	10.34 	11.31 	13.74 	12.68 
EUR,01110000,PT	20.72 	18.45 	17.82 	17.06 	18.84 	18.24 	20.46 	22.08 	20.00 	14.94 	13.65 	20.31 	17.71 	11.64 	12.25 	13.86 	13.03 	12.33 	13.34 	11.85 
