p_adj,unit,product,geo\time	2020 	2019 	2018 	2017 	2016 	2015 
NI,I15,200000,AT	101.60 f	103.00 	102.40 	98.50 	98.10 	100.00 
NI,I15,200000,BE	105.74 f	107.50 	105.58 	101.75 	98.24 	100.00 
NI,I15,200000,BG	100.80 f	104.00 	102.60 	98.50 	96.90 	100.00 
NI,I15,200000,CY	93.86 f	96.02 	93.19 	95.30 	93.96 	100.00 
NI,I15,200000,CZ	101.10 f	101.70 	99.00 	97.10 	96.00 	100.00 
NI,I15,200000,DE	103.20 f	103.90 	102.70 	98.50 	97.10 	100.00 
NI,I15,200000,DK	103.80 f	104.13 	103.01 	100.60 	99.92 	100.00 
NI,I15,200000,EE	101.44 f	103.44 	101.61 	98.08 	97.40 	100.00 
NI,I15,200000,EL	99.50 f	102.99 	103.02 	100.43 	97.69 	100.00 
NI,I15,200000,ES	98.28 f	101.30 	100.40 	96.70 	96.40 	100.00 
NI,I15,200000,EU27_2020	102.53 f	104.08 	102.56 	98.84 	97.25 	100.00 
NI,I15,200000,EU28	: 	104.90 	103.24 	99.20 	97.22 	100.00 
NI,I15,200000,FI	98.50 f	104.25 	102.26 	97.96 	96.18 	100.00 
NI,I15,200000,FR	99.98 f	102.42 	100.91 	97.42 	96.59 	100.00 
NI,I15,200000,HR	92.98 f	96.37 	96.01 	93.74 	94.22 	100.00 
NI,I15,200000,HU	105.20 f	105.00 	101.40 	96.90 	97.30 	100.00 
NI,I15,200000,IE	101.61 f	105.04 	102.74 	98.22 	97.85 	100.00 
NI,I15,200000,IT	105.30 f	105.60 	103.90 	100.20 	99.20 	100.00 
NI,I15,200000,LT	90.57 f	93.97 	96.27 	92.99 	89.30 	100.00 
NI,I15,200000,LU	99.68 f	102.15 	101.01 	97.29 	96.21 	100.00 
NI,I15,200000,LV	102.43 f	104.25 	102.53 	98.31 	97.56 	100.00 
NI,I15,200000,MT	103.45 f	102.58 	100.78 	99.10 	99.49 	100.00 
NI,I15,200000,NL	99.10 f	101.70 	101.90 	98.90 	95.60 	100.00 
NI,I15,200000,PL	105.80 f	107.08 	103.60 	99.99 	97.95 	100.00 
NI,I15,200000,PT	100.41 f	100.94 	100.53 	98.84 	99.39 	100.00 
NI,I15,200000,RO	109.74 f	108.33 	106.28 	101.20 	95.57 	100.00 
NI,I15,200000,SE	106.50 f	111.50 	108.20 	100.70 	98.20 	100.00 
NI,I15,200000,SI	100.27 f	103.46 	101.02 	97.26 	96.96 	100.00 
NI,I15,200000,SK	98.20 f	101.70 	99.80 	94.02 	94.57 	100.00 
NI,I15,200000,UK	113.55 f	112.25 	109.28 	102.42 	96.88 	100.00 
NI,I15,201000,AT	99.80 f	99.00 	98.50 	97.10 	100.30 	100.00 
NI,I15,201000,BE	96.06 f	97.41 	99.03 e	100.77 	100.19 	100.00 
NI,I15,201000,BG	103.20 f	105.50 	103.70 	101.90 	103.70 	100.00 
NI,I15,201000,CY	87.40 f	86.84 	83.22 	92.95 	98.50 	100.00 
NI,I15,201000,CZ	111.10 f	111.40 	107.70 	102.50 	101.90 	100.00 
NI,I15,201000,DE	101.70 f	102.30 	99.80 	98.20 	97.30 	100.00 
NI,I15,201000,DK	111.61 f	111.86 	109.62 	110.06 	111.97 	100.00 
NI,I15,201000,EE	110.93 f	110.84 	107.85 	98.46 	96.93 	100.00 
NI,I15,201000,EL	101.74 f	101.74 	101.57 	101.31 	101.82 	100.00 
NI,I15,201000,ES	104.08 f	106.40 	108.00 	105.00 	104.60 	100.00 
NI,I15,201000,EU27_2020	106.23 f	105.19 p	104.03 e	101.09 	100.50 	100.00 
NI,I15,201000,EU28	: 	105.15 p	104.07 e	100.96 	100.59 	100.00 
NI,I15,201000,FI	94.90 f	102.46 	98.06 	93.62 	97.45 	100.00 
NI,I15,201000,FR	97.56 f	97.36 	97.32 	97.01 	98.72 	100.00 
