sizehatch,typ_rear,incubat,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 
100001-200000,SHEN,CAP,AT	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	415.52 	: c	: c	343 	443 	1070 	1070.3 	1184.5 	1180.5 	1180.1 	1374.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,BA	366.00 	366.00 	349.00 	280.00 	434.00 	466.00 	568.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,BE	0.00 	0.00 	: c	: c	: c	: c	: c	: c	: c	: c	594.00 	594.40 	594.00 	584.00 	1057.00 	884.00 	819.00 	930 	: 	: 	704.4 	1250 	1434 	1393 	1201 	1228 	1433 	1363 	1518 	1087 	1390 	1190 	1190 	815 	1360 	1332 	1234 	1485 	1672 	2642 	2852 	2907 	3352 	3495 	3023 	3210 	3110 	3149 
100001-200000,SHEN,CAP,BG	: c	131.00 	: c	231.00 	327.50 	165.48 	: 	: c	: c	469.00 	925.10 	1134.00 	451.00 	594.90 	820.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,CY	: 	: 	: 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	0.00 	: 	0.00 	: 	0 n	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,CZ	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: c	: c	: c	: c	0.00 	0.00 	0.00 	0.00 	: c	: c	: c	400 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,DE	593.00 	593.00 	: 	: 	: 	1268.58 	895.51 	691.14 	709.10 	402.50 	: 	423.80 	522.30 	: c	: 	1010.00 	1125.00 	1065.2 	814.4 	992.9 	794.7 	1133.5 	1255.6 	969 	1093.6 	973.5 	779 	823.8 	874.2 	: b	1048.4 p	: c	1021 	1494 	1248 	1329 p	1182 p	1449 p	1911 p	1869 	1879 p	1900 p	2168 p	2496 p	3085 p	2742 p	2989 p	3725 p
100001-200000,SHEN,CAP,DK	0.00 	: c	: c	: c	0.00 	: 	: 	: 	: 	: 	: 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	370 	370 	370 	370 	370 	370 	360 	440 	440 	440 	440 	440 	430 	415 	415 	415 	415 	575 	800 	800 	1045 	990 	1010 
100001-200000,SHEN,CAP,EE	: c	: c	: c	: c	: c	: c	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,EL	486.00 	385.00 	: c	: c	: c	: c	: c	: c	: c	244.40 p	: c	: c	: c	: c	: c	: c	844.00 	1477 	1109 	699 	: 	899 	1214 	1214 	1217 	1474 	1799 	1911 	1645 	1867 	2127 	1792 	2050 	1959 	2497 	3130 	2422 	2939 	2755 	3022 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,ES	487.00 p	460.00 p	427.00 p	462.00 p	150.00 	150.00 p	150.00 p	505.80 p	417.80 p	443.40 p	417.50 	417.50 p	717.50 p	717.50 	733.40 	733.40 	733.40 	901.4 	891.5 	1162.9 	1081 	2036 	1069 	1101 	1337 	1336 	1134 	2300 	1642 	1576 	1862 	1788 	1936 	2932 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15053.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,FI	269.00 	423.00 	423.00 	216.00 	216.00 	216.00 	216.00 	101.00 	101.00 	101.00 	319.00 	319.00 	319.00 	286.00 	252.00 	252.00 	252.00 	493 	493 	493 	493 	587 	454 	437 	900 	860 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,FR	: 	380.00 p	0.00 p	380.00 p	380.00 p	380.00 p	380.00 p	: c	: c	: c	: c	: c	: c	937.00 	: c	1161.80 	1162.00 	1161.8 	: 	: 	: 	: 	: 	: 	: 	3597 	3463 	3663 	3848 	4417 	4417 	4688 	4344 	4511 	4190 	4667 	4889 	4980 	4981 	5763 	7257 	7004 	7421 	8720 	8423 	9099 	9141 	7867 
100001-200000,SHEN,CAP,HR	: c	: c	: c	: c	: c	: c	: c	: c	407.00 	: 	: 	337.00 	337.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,HU	658.72 	685.72 	793.12 	923.12 	1087.80 	1550.72 	1685.12 	: 	1843.30 	1829.90 	1819.90 	1545.50 	1314.00 	1066.40 	1441.00 	1200.10 	956.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,IE	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	809.7 	999.8 	918.5 	763.5 	771 	1155.4 	1155.4 	1203.8 	1020.7 	885.3 	708 	1599 	1085.1 	1020.4 	1020.4 	1020.4 	1020.4 	1147.3 	889.5 	903.8 	1038.2 	1188 	925.9 
100001-200000,SHEN,CAP,IS	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,IT	2030.00 	2480.00 	: 	320.00 	474.00 	585.00 	585.00 	292.00 	612.00 	: 	: 	0.00 	: 	885.00 	885.00 	: 	1019.00 	1019 	1019 	1019 	1199 	: 	1359 	1084 	1370 	1591 	1406 	1506 	1974 	2130 	2048 	1463 	1334 	1454 	3120 	3776 	1561 	2360 	3382.4 	3970.5 	4085.7 	3417.3 	4108.3 	5021.2 	5583.1 	6540.8 	7381.9 	8504.3 
100001-200000,SHEN,CAP,LT	: c	: c	: c	: c	: c	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
100001-200000,SHEN,CAP,LV	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	120.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,CAP,ME	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
