Data Source in SDW: https://odslwebdev.z6.web.core.windows.net/
,EST.B.EU000A2QQF08.CI,EST.B.EU000A2QQF16.CR,EST.B.EU000A2QQF24.CR,EST.B.EU000A2QQF32.CR,EST.B.EU000A2QQF40.CR,EST.B.EU000A2QQF57.CR,EST.B.EU000A2X2A25.CM,EST.B.EU000A2X2A25.NB,EST.B.EU000A2X2A25.NT,EST.B.EU000A2X2A25.R25,EST.B.EU000A2X2A25.R75,EST.B.EU000A2X2A25.RP,EST.B.EU000A2X2A25.TT,EST.B.EU000A2X2A25.VL,EST.B.EU000A2X2A25.WT
,"Compounded Euro Short-Term Rate Index, Index of compounded interest","Euro Short-Term Rate - 1-week Compounded Average Rate, Compounded average rate","Euro Short-Term Rate - 1-month Compounded Average Rate, Compounded average rate","Euro Short-Term Rate - 3-months Compounded Average Rate, Compounded average rate","Euro Short-Term Rate - 6-months Compounded Average Rate, Compounded average rate","Euro Short-Term Rate - 12-months Compounded Average Rate, Compounded average rate","Euro short-term rate, Calculation method","Euro short-term rate, Number of active banks","Euro short-term rate, Number of transactions","Euro short-term rate, Rate at 25th percentile of volume","Euro short-term rate, Rate at 75th percentile of volume","Euro short-term rate, Publication type","Euro short-term rate, Total volume","Euro short-term rate, Share of volume of the 5 largest active banks","Euro short-term rate, Volume-weighted trimmed mean rate"
Collection:,Unknown (U),Unknown (U),Unknown (U),Unknown (U),Unknown (U),Unknown (U),Other (V),Summed through period (S),Summed through period (S),Other (V),Other (V),Other (V),Summed through period (S),Other (V),Average of observations through period (A)
Period\Unit:,,,,,,,[Not applicable ],[Not applicable ],[Not applicable ],[Percent ],[Percent ],[Not applicable ],[Millions of Euro],[Percent ],[Percent ]
2021-08-26,98.93923924,-0.56669,-0.56771,-0.56577,-0.56478,-0.56021,,,,,,,,,
2021-08-25,98.94078931,-0.56712,-0.56774,-0.56578,-0.56478,-0.56018,0,30,421,-0.58,-0.55,0,40667,61,-0.564
2021-08-24,98.94234766,-0.56726,-0.56777,-0.56577,-0.56476,-0.56014,0,31,476,-0.60,-0.55,0,45630,59,-0.567
2021-08-23,98.94390877,-0.56741,-0.56777,-0.56568,-0.56475,-0.56005,0,31,497,-0.60,-0.55,0,48214,57,-0.568
2021-08-20,98.94858409,-0.56826,-0.56768,-0.56562,-0.56467,-0.56000,0,30,506,-0.59,-0.55,0,48770,59,-0.567
2021-08-19,98.95014256,-0.56841,-0.56764,-0.56559,-0.56466,-0.55996,0,32,515,-0.59,-0.55,0,49694,58,-0.567
2021-08-18,98.95170104,-0.56841,-0.56759,-0.56549,-0.56464,-0.55992,0,32,512,-0.59,-0.55,0,51169,58,-0.567
2021-08-17,98.95326231,-0.56826,-0.56758,-0.56546,-0.56461,-0.55988,0,31,513,-0.59,-0.55,0,51196,58,-0.568
2021-08-16,98.95482634,-0.56812,-0.56755,-0.56536,-0.56458,-0.55975,0,30,490,-0.59,-0.55,0,49862,59,-0.569
2021-08-13,98.95951867,-0.56812,-0.56726,-0.56524,-0.56448,-0.55967,0,31,493,-0.59,-0.55,0,49636,57,-0.569
2021-08-12,98.96108006,-0.56783,-0.56726,-0.56520,-0.56447,-0.55963,0,32,522,-0.59,-0.55,0,51208,57,-0.568
2021-08-11,98.96263872,-0.56826,-0.56713,-0.56516,-0.56446,-0.55959,0,31,515,-0.58,-0.55,0,50480,59,-0.567
2021-08-10,98.96419741,-0.56869,-0.56715,-0.56516,-0.56444,-0.55955,0,33,529,-0.59,-0.55,0,51988,57,-0.567
2021-08-09,98.96575887,-0.56826,-0.56713,-0.56505,-0.56442,-0.55946,0,30,505,-0.59,-0.55,0,51272,57,-0.568
2021-08-06,98.97045172,-0.56912,-0.56677,-0.56494,-0.56434,-0.55938,0,29,503,-0.59,-0.55,0,55680,60,-0.569
2021-08-05,98.97200778,-0.56926,-0.56677,-0.56494,-0.56434,-0.55934,0,30,440,-0.58,-0.55,0,47580,59,-0.566
2021-08-04,98.97357486,-0.56883,-0.56650,-0.56487,-0.56431,-0.55929,0,29,503,-0.60,-0.55,0,54069,57,-0.570
2021-08-03,98.97514196,-0.56783,-0.56640,-0.56484,-0.56424,-0.55924,0,30,511,-0.60,-0.55,0,53388,57,-0.570
2021-08-02,98.97669535,-0.56812,-0.56645,-0.56485,-0.56423,-0.55923,0,28,426,-0.58,-0.55,0,44914,62,-0.565
2021-07-30,98.98140521,-0.56641,-0.56644,-0.56478,-0.56412,-0.55903,0,28,471,-0.60,-0.55,0,43874,60,-0.571
2021-07-29,98.98296420,-0.56583,-0.56647,-0.56477,-0.56411,-0.55900,0,30,506,-0.59,-0.55,0,47964,57,-0.567
2021-07-28,98.98452320,-0.56598,-0.56644,-0.56476,-0.56408,-0.55895,0,31,511,-0.59,-0.55,0,50519,57,-0.567
2021-07-27,98.98607123,-0.56655,-0.56640,-0.56473,-0.56408,-0.55892,0,32,527,-0.58,-0.54,0,54696,52,-0.563
2021-07-26,98.98763029,-0.56641,-0.56639,-0.56473,-0.56403,-0.55882,0,30,524,-0.58,-0.55,0,49755,56,-0.567
2021-07-23,98.99230768,-0.56641,-0.56617,-0.56466,-0.56392,-0.55875,0,30,509,-0.58,-0.55,0,50208,57,-0.567
2021-07-22,98.99385583,-0.56683,-0.56621,-0.56468,-0.56394,-0.55871,0,28,409,-0.58,-0.54,0,40605,66,-0.563
2021-07-21,98.99541776,-0.56655,-0.56607,-0.56465,-0.56390,-0.55866,0,30,501,-0.58,-0.55,0,52586,56,-0.568
2021-07-20,98.99697696,-0.56641,-0.56574,-0.56465,-0.56389,-0.55862,0,30,488,-0.58,-0.55,0,49967,56,-0.567
2021-07-19,98.99853344,-0.56669,-0.56574,-0.56466,-0.56388,-0.55852,0,33,498,-0.58,-0.55,0,50509,55,-0.566
2021-07-16,99.00321134,-0.56626,-0.56541,-0.56459,-0.56386,-0.55842,0,31,493,-0.58,-0.55,0,50450,56,-0.567
2021-07-15,99.00476791,-0.56626,-0.56524,-0.56459,-0.56385,-0.55838,0,33,502,-0.58,-0.55,0,49676,57,-0.566
2021-07-14,99.00632451,-0.56612,-0.56521,-0.56453,-0.56384,-0.55833,0,30,488,-0.59,-0.54,0,47230,58,-0.566
2021-07-13,99.00788114,-0.56598,-0.56524,-0.56450,-0.56382,-0.55830,0,30,481,-0.58,-0.55,0,47559,59,-0.566
2021-07-12,99.00944329,-0.56569,-0.56516,-0.56448,-0.56379,-0.55818,0,28,449,-0.59,-0.55,0,42542,58,-0.568
2021-07-09,99.01411345,-0.56526,-0.56491,-0.56455,-0.56372,-0.55811,0,30,497,-0.58,-0.55,0,52139,56,-0.566
2021-07-08,99.01567020,-0.56512,-0.56481,-0.56459,-0.56372,-0.55806,0,31,506,-0.58,-0.55,0,50011,57,-0.566
2021-07-07,99.01722422,-0.56741,-0.56478,-0.56462,-0.56372,-0.55802,0,29,486,-0.58,-0.55,0,48092,59,-0.565
2021-07-06,99.01877826,-0.56783,-0.56459,-0.56464,-0.56372,-0.55798,0,29,492,-0.58,-0.55,0,46373,58,-0.565
2021-07-05,99.02033508,-0.56783,-0.56455,-0.56466,-0.56371,-0.55787,0,30,514,-0.59,-0.54,0,51933,52,-0.566
2021-07-02,99.02499751,-0.56783,-0.56441,-0.56468,-0.56371,-0.55780,0,30,494,-0.59,-0.55,0,46025,57,-0.565
2021-07-01,99.02655168,-0.56783,-0.56438,-0.56468,-0.56372,-0.55775,0,30,476,-0.59,-0.54,0,43218,56,-0.565
2021-06-30,99.02814988,-0.56526,-0.56420,-0.56466,-0.56396,-0.55768,0,28,455,-0.60,-0.54,0,34473,59,-0.581
2021-06-29,99.02971235,-0.56469,-0.56409,-0.56468,-0.56390,-0.55762,0,30,409,-0.60,-0.55,0,37503,57,-0.568
2021-06-28,99.03126934,-0.56441,-0.56403,-0.56475,-0.56383,-0.55749,0,31,469,-0.59,-0.55,0,41677,55,-0.566
2021-06-25,99.03593228,-0.56355,-0.56400,-0.56475,-0.56361,-0.55742,0,30,457,-0.58,-0.55,0,40811,54,-0.565
2021-06-24,99.03748662,-0.56326,-0.56403,-0.56474,-0.56361,-0.55737,0,31,455,-0.58,-0.55,0,40796,54,-0.565
2021-06-23,99.03903548,-0.56312,-0.56404,-0.56474,-0.56359,-0.55732,0,31,447,-0.58,-0.54,0,40523,58,-0.563
2021-06-22,99.04058712,-0.56269,-0.56405,-0.56476,-0.56356,-0.55726,0,30,457,-0.58,-0.54,0,41014,57,-0.564
